OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y,longitude,latitude
11,43,Madison Valley Mad P,3000 E Mercer St,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/madison-valley,17.0,2001,System.Byte[],2500.0,Yes,E Mercer St / 30th Ave E,,,1280511.98002805,231400.517857015,-122.29290540016099,47.625017835550196
12,73,Bitter Lake,N 143rd St & Linden Ave N,SPU,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/bitter-lake,29.0,2013,System.Byte[],15000.0,No,,,,1267334.90884654,270731.82144928,-122.3494727266815,47.73212542131886
13,33,Cascade,310 Minor Ave N,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/cascade,57.0,1996,System.Byte[],7000.0,No,Minor Ave N / Thomas St,,,1270693.88177799,230113.369951695,-122.332610490074,47.62097237696356
14,3,Evanston,604 N 101st St,City Light,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/evanston,42.0,1974,System.Byte[],11600.0,Yes,Evanston Ave N / N 102nd St,,,1266814.30334201,259954.910526246,-122.35072440383799,47.70255836182022
15,2,Pinehurst,11525 12th Ave NE,GROW,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/pinehurst,17.0,1976,System.Byte[],5000.0,No,12th Ave NE / NE 115th St,,,1275531.87282294,263537.447553918,-122.31560696155051,47.712843696806424
16,86,UpGarden,300 Mercer St,Center,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/upgarden,98.0,2012,System.Byte[],25000.0,No,4th Ave N / Mercer St,,,1266382.54410957,231662.998177275,-122.35021290659306,47.62498824443904
17,30,Climbing Water,850 Hiawatha Pl S,Homesight,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/climbing-water,13.0,2006,System.Byte[],1800.0,No,S Dearborn St / Hiawatha Pl S,,,1276316.27032775,220686.502422035,-122.30908358917,47.59543146062883
18,91,Troll's Knoll,820 N 36th St,SDOT,P-Patch (public),0.0,0.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/trolls-knoll,29.0,2016,System.Byte[],2000.0,No,,,,1267186.08663839,241378.907819226,-122.34773029980296,47.65166250765416
19,41,Pelican Tea Garden,1909 E Roy St,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/pelican-tea-garden,0.0,2001,System.Byte[],1000.0,Yes,E Mercer St / 19th Ave E,,,1277125.01906458,231393.479649007,-122.30663713233389,47.624821619383205
20,50,Solstice,7400 Fauntleroy Way SW,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/solstice,34.0,2003,System.Byte[],13000.0,No,SW Webster St / 45th Ave SW,,,1255670.28873861,199479.218496323,-122.39100280957669,47.53618770582636
21,16,Delridge,5200 25th Ave SW,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/delridge,30.0,1974,System.Byte[],9400.0,Yes,Delridge Way SW / Puget Blvd SW,,,1262561.32388166,206222.874375224,-122.36365429116931,47.555050665059575
22,52,Oxbow Park,6430 Corson Ave S,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/oxbow-park,23.0,2004,System.Byte[],5000.0,No,Corson Ave S / S Eddy St,,,1272953.13938031,202349.890499264,-122.32127464834286,47.544993592066284
23,6,Burke-Gilman Gardens,5200 Mithun Pl NE,BEP/PDA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/burke-gilman-gardens,23.0,1989,System.Byte[],3500.0,No,Mithun Pl NE / NE 52nd St,,,1283814.42425542,247039.76004903,-122.28070842147699,47.66805595086688
24,54,Hawkins,504 M L King Jr Way,DON,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hawkins,18.0,2005,System.Byte[],2100.0,No,M L King Jr Way / E Jefferson St,,,1279525.41701902,224722.382490173,-122.29639056391282,47.60666174446696
25,44,Queen Pea,1800 5th Ave N,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/queen-pea,32.0,2002,System.Byte[],4000.0,Yes,5th Ave N / Howe St,,,1267262.17508647,235394.561317101,-122.3469441279615,47.63526377658955
26,20,Republican,503 20th Ave E,Private,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/republican,23.0,1986,System.Byte[],2600.0,No,20th Ave E / E Republican St,,,1277193.03628065,230860.001888454,-122.3063199556471,47.62336293331539
27,31,Squire Park,152 14th Ave,DON,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/squire-park,35.0,1995,System.Byte[],5000.0,No,14th Ave / E Fir St,,,1275162.83602257,223422.092376843,-122.31397076988917,47.602868935536534
28,1,Jackson Park,13049 10th Ave NE,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/jackson-park,51.0,1974,System.Byte[],14100.0,No,NE 133rd St / 10th Ave NE,,,1274931.74962233,267823.374470308,-122.31838017777773,47.72455957248107
29,38,Greg's Garden,1401 NW 54th St,Metro,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/gregs-garden,21.0,1999,System.Byte[],2500.0,No,14th Ave NW / NW 54th St,,,1260855.98576792,247348.136689335,-122.37389290924548,47.66767941313196
30,15,Maa Nyei Lai Ndeic,4913 Columbia Dr S,City Light,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maa-nyei-lai-ndeic-(my-mothers-garden),110.0,1982,System.Byte[],44000.0,No,Columbia Dr S / S Ferdinand St,,,1276908.62348035,206769.313479781,-122.30560425906872,47.55731571120385
31,55,Spring Street,1101 25th Ave,DON,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/spring-street,13.0,2009,System.Byte[],1900.0,Yes,E Spring St / 25th Ave,,,1278583.03308207,226581.264028072,-122.30035371450339,47.611707745357165
32,49,Brandon Street Orchard,4625 S Brandon St,DON,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/brandon-street-orchard,0.0,2003,System.Byte[],2500.0,No,47th Ave S / S Brandon St,,,1284625.33612825,205090.491270065,-122.27423031588634,47.55311444794532
33,5,Picardo Farm,8040 25th Ave NE,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/picardo-farm,259.0,1973,System.Byte[],98000.0,Yes,25th Ave NE / NE 80th St,,,1279037.63538653,254274.324280426,-122.30065156107366,47.68763785731637
34,76,Howell Collective,1514 E Howell Street,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/howell-collective,0.0,2011,System.Byte[],4200.0,No,E Denny Way / 16th Ave,,,1275802.12959121,228951.5476145,-122.31181046716357,47.61805877171998
35,40,Courtland Place,S Spokane St & 36th Ave S,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/courtland-place,23.0,1999,System.Byte[],2500.0,Yes,S Spokane St / 36th Ave S,,,1281221.62444477,211889.438541025,-122.28853212481854,47.571574834758955
36,87,Licton Springs,College Way N & N 92nd St,North Seattle College,P-Patch (public),0.0,0.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/licton-springs,67.0,2014,System.Byte[],15000.0, ,College Way N / N 92nd St,,,1271019.53445032,257566.992699802,-122.33346012059596,47.696239194919855
37,26,Hazel Heights,4200 Baker Ave NW,GROW,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hazel-heights,19.0,2010,System.Byte[],2000.0,No,Baker Ave NW / NW 42nd St,,,1264355.6795315,243684.209069595,-122.35939724726305,47.65782795156055
38,35,Greenwood,343 NW 88th St,GROW,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/greenwood,32.0,1997,System.Byte[],3200.0,No,3rd Ave NW / NW 88th St,,,1263941.34122707,256360.237114564,-122.36209992844809,47.692549691574776
39,25,Ida Mia Garden,E Madison St & Lake Washington Blvd E,Private,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ida-mia-garden,7.0,1994,System.Byte[],1600.0,No,,,,1280823.72946836,231644.120801255,-122.2916601403837,47.62570175194023
40,85,Barton Street,3405 SW Barton St,SPU,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/barton-street,45.0,2012,System.Byte[],12000.0,No,SW Barton St / 34th Ave SW,,,1259314.56099834,193816.628986523,-122.37579328293492,47.52086813258324
41,51,Angel Morgan,3956 S Morgan St,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/angel-morgan,30.0,2004,System.Byte[],22650.0,Yes,42nd Ave S / S Morgan St,,,1282889.54604648,201875.127490774,-122.28101339808404,47.54421180385319
42,12,Eastlake,2892 Fairview Ave E,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/eastlake,47.0,1981,System.Byte[],75000.0,Yes,Eastlake Ave E / E Shelby St,,,1272666.35678801,239746.220777556,-122.32537109013177,47.6474808231255
43,48,Linden Orchard,744 N 67th St,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/linden-orchard,25.0,2003,System.Byte[],2500.0,No,Linden Ave N / N 67th St,,,1267337.25579055,251008.077109084,-122.34788591942363,47.67806377585661
44,77,Shiga's Garden,5522 University Way NE,Private,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/shigas-garden,18.0,2010,System.Byte[],2000.0,No,University Way NE / NE 56th St,,,1275950.49682337,247585.716721579,-122.31266129787285,47.66914248971259
45,87,Westcrest Garden,9000 8th Ave SW,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/p-patch-community-gardening/p-patch-list/westcrest-garden,52.0,2013,System.Byte[],55000.0,No,SW Barton St / 8th Ave SW,,,1267311.48075053,194204.324858919,-122.34346600146517,47.52236557303294
46,53,Maple Leaf,529 NE 103rd St,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/maple-leaf,22.0,2007,System.Byte[],16000.0,No,5th Ave NE / NE 103rd St,,,1273898.15896527,259940.508478239,-122.32195934256363,47.70289815131624
47,22,Bradner Gardens Park,1750 Bradner Pl S,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/bradner-gardens-park,60.0,1987,System.Byte[],14330.0,No,29th Ave S / S Grand St,,,1279629.59474714,217619.24008289,-122.29542129853067,47.587197492278406
48,23,Estelle Street,S Estelle St & Wetmore Ave S,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/estelle-street,19.0,1990,System.Byte[],6000.0,Yes,33rd Ave S / S Hinds St,,,1280491.40422001,212233.70042938,-122.29151616605049,47.57248056566671
49,11,Interbay,2451 15th Ave W,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/interbay,132.0,1974,System.Byte[],43000.0,No,W Wheeler St / 15th Ave W,,,1259880.90071091,237706.568167463,-122.37706462392688,47.64119892838471
50,8,Ravenna,5200 Ravenna Ave NE,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ravenna,18.0,1981,System.Byte[],2200.0,Yes,Ravenna Ave NE / NE 52nd St,,,1278125.95704959,246557.219952524,-122.30375374634666,47.666437692100125
51,19,Judkins,1107 24th Ave S,DON/GROW,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/judkins,24.0,1986,System.Byte[],5600.0,No,24th Ave S / S Norman St,,,1278153.04140162,219662.618132994,-122.30156154230805,47.5927213155724
52,24,Phinney Ridge,5926 3rd Ave NW,SDOT,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/phinney-ridge,21.0,1991,System.Byte[],2600.0,Yes,3rd Ave NW / NW 60th St,,,1264206.15761134,249002.700595036,-122.36043207139234,47.672397517547786
53,9,Good Shepherd,4618 Bagley Ave N,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/good-shepherd,42.0,1981,System.Byte[],8400.0,No,N 46th St / Bagley Ave N,,,1271113.63006642,245562.82257551,-122.33212878397606,47.6633412334313
54,17,University Heights,5031 University Way NE,SSD,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-heights,31.0,1991,System.Byte[],5000.0,No,University Way NE / NE 50th St,,,1275767.49138318,246314.29553628,-122.31330468197399,47.66564790622885
55,82,John C. Little Garden,37th Ave S & S Willow St,Parks,P-Patch (public),1.0,1.0,https://www.seattle.gov/neighborhoods/p-patch-gardening/garden-list/john-c-little-garden,26.0,2013,System.Byte[],7200.0,No,,,,1281476.35238104,200361.750209227,-122.28661856180578,47.53999061144355
56,18,Thistle,8420 42nd Ave S,City Light,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thistle,77.0,1974,System.Byte[],130680.0,No,M L King Jr Way S / S Cloverdale St,,,1282846.01555043,195699.776764452,-122.28071938576481,47.5272828806481
57,0,Horuichi Park,156 Boren Ave,Parks,P-Patch (public),0.0,0.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/horiuchi-park,28.0,2015,System.Byte[],4000.0, ,Boren Ave / E Fir St,,,1273944.76862931,223502.732504919,-122.31891356133768,47.603025617185025
58,27,Belltown,2520 Elliott Ave,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/belltown,35.0,1995,System.Byte[],4400.0,No,Elliott Ave / Vine St,,,1266119.3486533,227661.195229173,-122.35096000194837,47.61400525268954
59,81,Kirke Park,7028 9th Ave NW,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/kirke-park,28.0,2012,System.Byte[],7400.0,No,9th Ave NW / NW 73rd St,,,1262403.8067615,252161.028598264,-122.36800179334958,47.68095602354617
60,47,Longfellow Creek,2450 SW Thistle St,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/longfellow-creek,22.0,2003,System.Byte[],4000.0,No,SW Thistle St / 25th Ave SW,,,1262250.26864934,196559.966653332,-122.36413537827684,47.52854816300477
61,10,University District,4009 8th Ave NE,Metro,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-district,46.0,1976,System.Byte[],14400.0,No,8th Ave NE / NE 40th St,,,1274038.24965341,242932.545516819,-122.32005614529686,47.65628723785067
62,4,Ballard,8527 25th Ave NW,Church,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ballard,94.0,1976,System.Byte[],18000.0,No,25th Ave NW / NW 85th St,,,1257224.8776042,256111.359162316,-122.38934590925781,47.69149851831979
63,88,Broadway Hill,500 Federal Ave E,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/broadway-hill-,16.0,2015,System.Byte[],0.0, ,Federal Ave E / E Republican St,,,1274165.35819754,230956.840224549,-122.31860268940247,47.6234688403613
64,36,Marra Farm,9026 4th Ave S,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/marra-farm,39.0,1997,System.Byte[],5600.0,No,S Director St / 5th Ave S,,,1270993.8801143,193871.221306577,-122.32853917206353,47.521649655981896
65,45,Thyme Patch Park,2853 NW 58th St,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thyme-patch-park,14.0,2003,System.Byte[],4800.0,No,NW 58th St / 30th Ave NW,,,1255625.72425856,248544.248370558,-122.39521420443938,47.67066886267831
66,29,Hillman City,4613 S Lucile St,GROW/Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillman-city,43.0,1994,System.Byte[],18500.0,Yes,S Lucile St / 46th Ave S,,,1284503.44966413,204870.681413844,-122.27470714970349,47.552505689564335
67,7,Magnuson Park,7400 Sand Point Way NE,Parks,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/magnuson-park,128.0,1977,System.Byte[],174240.0,No,NE 74th St / Sportsfield Dr NE,,,1289451.2487092,252349.350454465,-122.25823395676254,47.68289794033538
68,21,Beacon Food Forest,3950 15th Ave S,SPU,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/beacon-food-forest,27.0,2014,System.Byte[],27000.0,No,15th Ave S / S Dakota St,,,1275174.39935057,210610.415179715,-122.31292551206822,47.56775294544811
69,42,Roosevelt,7012 12th Ave NE,DON,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/roosevelt,29.0,2003,System.Byte[],3500.0,No,NE 71st St / 12th Ave NE,,,1275372.38917477,251526.005173624,-122.31531514223066,47.67991223734011
70,68,High Point Juneau Garden and Market Garden,5900 32nd Ave SW,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-juneau,18.0,1999,System.Byte[],5000.0,No,32nd Ave SW / SW Juneau St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1260161.3376392,204398.82336536,-122.3732238905418,47.54991980130226
71,69,High Point MacArthur Lane Park Garden,2726 SW MacArthur Ln,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-macarthur-lane-park,11.0,2009,System.Byte[],2531.0,No,SW MacArthur Ln / High Point Dr SW,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1261007.88631207,204612.144005582,-122.36981384521533,47.55055088573458
72,57,Rainier Vista Sunrise Garden,4450 Renton Ave S,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainer-vista-sunrise-garden,24.0,2013,System.Byte[],7100.0,No,S Oregon St / 33rd Ave S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/rainier-vista,1280420.38412395,208830.626633897,-122.29154261255604,47.563149053707996
73,65,NewHolly 29th Ave Garden,29th Ave S / S Brighton St,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-29-ave-garden,9.0,2001,System.Byte[],2000.0,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1279166.89337066,200915.417153791,-122.29600950609695,47.54138826888608
74,66,NewHolly Power Garden,7123 Holly Park Dr S,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-power-garden,23.0,2003,System.Byte[],2400.0,No,Holly Park Dr S / S Myrtle Pl,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1281095.22450864,199749.221056595,-122.28811443656696,47.53829192692336
75,84,Lake City Court Garden,12536 33rd Ave NE,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/lake-city-court,22.0,2012,System.Byte[],3000.0,No,33rd Ave NE / NE 125th St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/lake-city-court,1281425.09446098,266016.205636457,-122.29186349174776,47.71994659378689
76,67,NewHolly Youth and Family,32nd Ave S / S Brighton St,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-youth-and-family,46.0,1999,System.Byte[],10500.0,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1280517.10815604,201021.297217906,-122.29055200262303,47.54174870502556
77,59,Rainier Vista Dakota West,2902 S Dakota St,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainier-vista-dakota-garden,36.0,2008,System.Byte[],8461.0,No,S Lilac St / M L King Jr Way S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/rainier-vista,1278878.17797837,210201.078219295,-122.29789363529277,47.566825175046844
78,71,Hillside Garden,2570 M L King Jr Way S,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillside-garden,0.0,2001,System.Byte[],8000.0,No,M L King Jr Way S / S McClellan St,Affordable Housing Resident Priority Given,http://www.mtbakerhousing.org/MtBakerVillage/,1279445.12505095,214642.734223843,-122.29593945809246,47.57902929226596
79,92,Hoa Mai,221 10th Ave S,SHA,P-Patch (public),,,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hoa-mai,20.0,2017,System.Byte[],3045.0,No,S Washington St / 10th Ave S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/yesler,1273638.854901,222556.591767952,-122.32007925832896,47.60041607041608
80,64,NewHolly Lucky Garden,2930 S Holly St,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-lucky-garden,9.0,2001,System.Byte[],2000.0,No,Shaffer Ave S / S Holly St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1279536.32313104,201462.531522349,-122.29455612623676,47.54290714665152
81,70,High Point Commons Garden,SW Graham St & 31st Ave SW,SHA,P-Patch (public),1.0,1.0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-commons-garden,46.0,2009,System.Byte[],5269.0,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1260335.26851939,203195.369988129,-122.37242226911265,47.546630742080964
